item	kind	upstream_ref	current_delta	abi_adaptation	target_owner	status	validation
netsurf-buildsystem	build-wrapper	ports/netsurf-buildsystem/src@771d7cb 771d7cb06918 master; original git://git.netsurf-browser.org/buildsystem.git	local buildsystem staging wrapper only; no imported source delta, patch file, or ABI adaptation hit	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libwapcaplet	imported-source	ports/netsurf-libwapcaplet/src@c7c128d c7c128d3eb32 master; original git://git.netsurf-browser.org/libwapcaplet.git	imported src has no source delta, patch file, xv6 marker, or ABI adaptation hit	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libparserutils	imported-source	ports/netsurf-libparserutils/src@6b0cbf0 6b0cbf086ca8 master; original git://git.netsurf-browser.org/libparserutils.git	imported src has no source delta, patch file, or xv6 marker; errno hits are upstream parser/iconv behavior	no	kernel-abi/libc	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libcss	imported-source	ports/netsurf-libcss/src@104d87f 104d87fde48b master; original git://git.netsurf-browser.org/libcss.git	imported src has no source delta, patch file, or xv6 marker; fallback/workaround hits are upstream CSS/test data	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libnsbmp	imported-source	ports/netsurf-libnsbmp/src@ea063c9 ea063c9f46ac master; original git://git.netsurf-browser.org/libnsbmp.git	imported src has no source delta, patch file, or xv6 marker; errno hits are upstream tests	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libnsgif	imported-source	ports/netsurf-libnsgif/src@24ddb64 24ddb6421c31 master; original git://git.netsurf-browser.org/libnsgif.git	imported src has no source delta, patch file, or xv6 marker; errno hits are upstream tests	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libnslog	imported-source	ports/netsurf-libnslog/src@9c19d16 9c19d16e196a master; original git://git.netsurf-browser.org/libnslog.git	imported src has no source delta, patch file, xv6 marker, or ABI adaptation hit	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libnspsl	imported-source	ports/netsurf-libnspsl/src@82815c2 82815c2bc7fd master; original git://git.netsurf-browser.org/libnspsl.git	imported src has no source delta, patch file, xv6 marker, or ABI adaptation hit	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libnsutils	imported-source	ports/netsurf-libnsutils/src@0bd3906 0bd39060740b master; original git://git.netsurf-browser.org/libnsutils.git	imported src has no source delta, patch file, or xv6 marker; errno hits are upstream utility behavior	no	libc	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libhubbub	imported-source	ports/netsurf-libhubbub/src@6651b8c 6651b8cf87a4 master; original git://git.netsurf-browser.org/libhubbub.git	imported src has no source delta, patch file, or xv6 marker; fallback hits are upstream charset behavior	no	libc	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libsvgtiny	imported-source	ports/netsurf-libsvgtiny/src@7ede71b 7ede71b572a1 master; original git://git.netsurf-browser.org/libsvgtiny.git	imported src has no source delta, patch file, or xv6 marker; X11/gui hits are upstream example program text	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-nsgenbind	imported-source	ports/netsurf-nsgenbind/src@44c6736 44c6736937ae master; original git://git.netsurf-browser.org/nsgenbind.git	imported src has no source delta, patch file, or xv6 marker; errno hits are upstream generator diagnostics	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf-libdom	imported-source	ports/netsurf-libdom/src@f69781e f69781e1f062 master; original git://git.netsurf-browser.org/libdom.git	imported src has no source delta, patch file, xv6 marker, or ABI adaptation hit	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-netsurf -j2
netsurf	imported-source	ports/netsurf/src@e9578ac e9578ac53f05; original git://git.netsurf-browser.org/netsurf.git	source content restored to original imported baseline; removed xv6 GTK titlebar/window-control and forced DejaVu source deltas; removed wrapper Python source rewrite; remaining local behavior is build/resource/rootfs staging	no	build-wrapper/runtime-data	done	cmake --build build-x86_64/ports --target port-netsurf -j2
cpython	imported-source	ports/cpython/src@b3247d8 b3247d8a0537 v6-3.12; original https://github.com/python/cpython.git	source content restored to original imported 3.12 baseline; removed xv6 platform/configure edits, UTF-8/readline/startup/frozen-module workarounds, and local Lib/httpd.py demo from imported stdlib; remaining scanner hits are upstream CPython Linux/syscall/procfs code	no	build-wrapper/kernel-abi	done	cmake --build build-x86_64/ports --target port-cpython -j2
vim	imported-source	ports/vim/src@e21c4a6 e21c4a649a83 v9.2.0173; original https://github.com/vim/vim.git	imported source has no delta against original v9.2.0173; removed copied-source mch_exit patch script; terminal restoration now lives in xv6-owned launcher staging upstream Vim as /libexec/vim.real	no	build-wrapper/local-shim	done	cmake --build build-x86_64/ports --target port-vim -j2
