item	kind	upstream_ref	current_delta	abi_adaptation	target_owner	status	validation
cmake	build-wrapper	local	build wrapper only	no	build-wrapper	pending	not run
linux-uapi-headers	data-or-headers	see docs/linux-userland-upstream-refs.tsv	pending review	pending	sysroot-data-headers	pending	not run
khronos-headers	data-or-headers	see docs/linux-userland-upstream-refs.tsv	pending review	pending	sysroot-data-headers	pending	not run
hwdata	data-or-headers	local-minimal-hwdata-0.1	pending review	pending	sysroot-data-headers	pending	not run
wayland-host	build-wrapper	local	build wrapper only	no	build-wrapper	pending	not run
glib-host	build-wrapper	local	build wrapper only	no	build-wrapper	pending	not run
libpng-host	build-wrapper	local	build wrapper only	no	build-wrapper	pending	not run
zlib	imported-source	zlib-1.3.2.1-motley	imported src has no xv6 marker or ABI adaptation; xv6 text is wrapper-only	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-zlib -j2
bzip2	imported-source	66c46b8 66c46b8c9436 master	imported src has no xv6 marker or ABI adaptation; xv6 text is wrapper-only	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-bzip2 -j2
xz	imported-source	ebb0e67 ebb0e6789cef master	imported src has no xv6 marker or xv6-specific adaptation; syscall/procfs/poll hits are upstream Linux behavior	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-xz -j2
libffi	imported-source	2263d60 2263d6037f8e master	removed wrapper workaround disabling exec-static trampolines; imported src has no xv6 marker and sysroot provides linux/limits.h	no	sysroot-data-headers	done	cmake --build build-x86_64/ports --target port-libffi -j2
libexpat	imported-source	ports/libexpat/src@R_2_7_5-110-g1870998e 1870998e114e master	imported src has no xv6 marker or xv6-specific adaptation; getrandom/syscall/errno hits are upstream Linux behavior and GUI text hits are test data	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-libexpat -j2
pcre2	imported-source	ports/pcre2/src@ac0eb71 ac0eb7122a0a main	imported src has no xv6 marker, source delta, patch file, or ABI adaptation hits	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-pcre2 -j2
json-c	imported-source	ports/json-c/src@json-c-0.18-20240915 41a55cfcedb5	imported src has no xv6 marker, source delta, or patch file; errno/getrandom fallback hits are upstream behavior	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-json-c -j2
sqlite	imported-source	ports/sqlite/src@7539d2f 7539d2f1ba7d master	imported src has no xv6 marker, source delta, or patch file; errno/VFS/procfs/struct hits are upstream SQLite, autosetup, and tests	no	kernel-abi	done	cmake --build build-x86_64/ports --target port-sqlite -j2
ncurses	imported-source	ports/ncurses/src@87c2c84 87c2c84cbd23 master	imported src has no xv6 marker or source delta; tracked patch file is upstream mode-only release artifact; errno/poll/procfs hits are upstream configure, terminal, and test behavior	no	kernel-abi	done	cmake --build build-x86_64/ports --target port-ncurses -j2
readline	imported-source	ports/readline/src@553d6bb 553d6bb272f2 master	imported src has no xv6 marker, source delta, or patch file; errno/procfs/signal/terminal hits are upstream readline and autoconf behavior	no	kernel-abi	done	cmake --build build-x86_64/ports --target port-readline -j2
openssl	imported-source	ports/openssl/src@1d21d077 1d21d0773b60 v6-port	imported src has no xv6 marker, source delta, or patch file; apparent xv6 hits are certificate/test-data false positives and syscall/procfs/errno hits are upstream behavior	no	kernel-abi	done	cmake --build build-x86_64/ports --target port-openssl -j2
curl	imported-source	see docs/linux-userland-upstream-refs.tsv	pending review	pending	wrapper	pending	not run
openssh	imported-source	see docs/linux-userland-upstream-refs.tsv	pending review	pending	wrapper	pending	not run
libxml2	imported-source	see docs/linux-userland-upstream-refs.tsv	pending review	pending	wrapper	pending	not run
